kind,source_kind,source_family,source_path,container_path,archive_member,source_mtime,document_role,sha256,original_name,legacy_destination_path,destination_path
moved_clean_recovery,filesystem,my_project_priority,/Users/thomasbirnie/my_project/project-documents/priority/Section 2- Scale-Barrier Principle.pdf,,,2025-01-13T00:00:02+00:00,pdf_output,11142dd5902617ae244b5d0284fb7b4eb08585549481a0db336d73ecbab05a67,Section 2- Scale-Barrier Principle.pdf,/Users/thomasbirnie/Research-Consolidation/Millennium Prize Problems/Navier-Stokes/Consolidated-NS-TEX-PDF-Corpus-20260325-103223/pdf/Section 2- Scale-Barrier Principle__my_project_priority__2025-01-13.pdf,/Users/thomasbirnie/Research-Consolidation/Millennium Prize Problems/Navier-Stokes/Consolidated-NS-TEX-PDF-Corpus/Section 2- Scale-Barrier Principle__my_project_priority__2025-01-13.pdf
moved_clean_recovery,filesystem,my_project_priority,/Users/thomasbirnie/my_project/project-documents/priority/Unifying Stability in PDEs- A Single Invariance Perspective.tex,,,2025-03-07T14:29:04+00:00,standalone_tex,02ba0bfd8a1a8bb18dc442f327e83676fcad7df1ac427aa37922e37c3f38980e,Unifying Stability in PDEs- A Single Invariance Perspective.tex,/Users/thomasbirnie/Research-Consolidation/Millennium Prize Problems/Navier-Stokes/Consolidated-NS-TEX-PDF-Corpus-20260325-103223/tex/Unifying Stability in PDEs- A Single Invariance Perspective__my_project_priority__2025-03-07.tex,/Users/thomasbirnie/Research-Consolidation/Millennium Prize Problems/Navier-Stokes/Consolidated-NS-TEX-PDF-Corpus/Unifying Stability in PDEs- A Single Invariance Perspective__my_project_priority__2025-03-07.tex
moved_clean_recovery,filesystem,my_project_priority,/Users/thomasbirnie/my_project/project-documents/priority/Strong Convergence in L2 Using Compactness.tex,,,2025-03-07T14:29:04+00:00,standalone_tex,7cc1f368fb86ff9d2535a0e1d874f6f09f0d52ba7009d9f194385f9b4f7596be,Strong Convergence in L2 Using Compactness.tex,/Users/thomasbirnie/Research-Consolidation/Millennium Prize Problems/Navier-Stokes/Consolidated-NS-TEX-PDF-Corpus-20260325-103223/tex/Strong Convergence in L2 Using Compactness__my_project_priority__2025-03-07.tex,/Users/thomasbirnie/Research-Consolidation/Millennium Prize Problems/Navier-Stokes/Consolidated-NS-TEX-PDF-Corpus/Strong Convergence in L2 Using Compactness__my_project_priority__2025-03-07.tex
moved_clean_recovery,filesystem,my_project_priority,/Users/thomasbirnie/my_project/project-documents/priority/Conclusion- Smooth Solutions for All Time.pdf,,,2025-01-13T01:56:43+00:00,pdf_output,0e5d1c6f8a7938a4833c9938fbd7a09dc8e48882b4095bb0e10418b613509661,Conclusion- Smooth Solutions for All Time.pdf,/Users/thomasbirnie/Research-Consolidation/Millennium Prize Problems/Navier-Stokes/Consolidated-NS-TEX-PDF-Corpus-20260325-103223/pdf/Conclusion- Smooth Solutions for All Time__my_project_priority__2025-01-13.pdf,/Users/thomasbirnie/Research-Consolidation/Millennium Prize Problems/Navier-Stokes/Consolidated-NS-TEX-PDF-Corpus/Conclusion- Smooth Solutions for All Time__my_project_priority__2025-01-13.pdf
moved_clean_recovery,filesystem,my_project_priority,/Users/thomasbirnie/my_project/project-documents/priority/Section_2-_Scale-Barrier_Principle.tex,,,2025-03-07T14:53:35+00:00,fragment_tex,8819ffa55271232c81f5a9d1e80e4194ad5f21ee3f2670e37d0c82128f393644,Section_2-_Scale-Barrier_Principle.tex,/Users/thomasbirnie/Research-Consolidation/Millennium Prize Problems/Navier-Stokes/Consolidated-NS-TEX-PDF-Corpus-20260325-103223/tex/Section_2-_Scale-Barrier_Principle__my_project_priority__2025-03-07.tex,/Users/thomasbirnie/Research-Consolidation/Millennium Prize Problems/Navier-Stokes/Consolidated-NS-TEX-PDF-Corpus/Section_2-_Scale-Barrier_Principle__my_project_priority__2025-03-07.tex
moved_clean_recovery,filesystem,my_project_priority,/Users/thomasbirnie/my_project/project-documents/priority/Section 4- Non-Sobolev Compactness.tex,,,2025-03-07T14:29:04+00:00,standalone_tex,02009323097bd02ca9ed9f78b23ff7f5de3ae95e941c152222b8cc29a6c9b0af,Section 4- Non-Sobolev Compactness.tex,/Users/thomasbirnie/Research-Consolidation/Millennium Prize Problems/Navier-Stokes/Consolidated-NS-TEX-PDF-Corpus-20260325-103223/tex/Section 4- Non-Sobolev Compactness__my_project_priority__2025-03-07.tex,/Users/thomasbirnie/Research-Consolidation/Millennium Prize Problems/Navier-Stokes/Consolidated-NS-TEX-PDF-Corpus/Section 4- Non-Sobolev Compactness__my_project_priority__2025-03-07.tex
moved_clean_recovery,filesystem,my_project_priority,/Users/thomasbirnie/my_project/project-documents/priority/Strong Convergence in L2 Using Compactness.pdf,,,2025-01-13T01:51:22+00:00,pdf_output,d3662f5c255c549d1f1929af3b6442ebe507d0161d17eeccc9bd2a5d3c8868b2,Strong Convergence in L2 Using Compactness.pdf,/Users/thomasbirnie/Research-Consolidation/Millennium Prize Problems/Navier-Stokes/Consolidated-NS-TEX-PDF-Corpus-20260325-103223/pdf/Strong Convergence in L2 Using Compactness__my_project_priority__2025-01-13.pdf,/Users/thomasbirnie/Research-Consolidation/Millennium Prize Problems/Navier-Stokes/Consolidated-NS-TEX-PDF-Corpus/Strong Convergence in L2 Using Compactness__my_project_priority__2025-01-13.pdf
moved_clean_recovery,filesystem,my_project_priority,/Users/thomasbirnie/my_project/project-documents/priority/Comparisons_to_Known_Results.tex,,,2025-03-07T14:53:35+00:00,fragment_tex,7c6ed6f439b0340ecb0bdf109e1021a74a3d1eef6791b6607697b75168b0925a,Comparisons_to_Known_Results.tex,/Users/thomasbirnie/Research-Consolidation/Millennium Prize Problems/Navier-Stokes/Consolidated-NS-TEX-PDF-Corpus-20260325-103223/tex/Comparisons_to_Known_Results__my_project_priority__2025-03-07.tex,/Users/thomasbirnie/Research-Consolidation/Millennium Prize Problems/Navier-Stokes/Consolidated-NS-TEX-PDF-Corpus/Comparisons_to_Known_Results__my_project_priority__2025-03-07.tex
moved_clean_recovery,filesystem,my_project_priority,/Users/thomasbirnie/my_project/project-documents/priority/Section 2- Scale-Barrier Principle.tex,,,2025-03-07T14:29:04+00:00,standalone_tex,63ff31078e8688036cb5f6d46baed33566e60d367f33d0e8f56f82dc827e6294,Section 2- Scale-Barrier Principle.tex,/Users/thomasbirnie/Research-Consolidation/Millennium Prize Problems/Navier-Stokes/Consolidated-NS-TEX-PDF-Corpus-20260325-103223/tex/Section 2- Scale-Barrier Principle__my_project_priority__2025-03-07.tex,/Users/thomasbirnie/Research-Consolidation/Millennium Prize Problems/Navier-Stokes/Consolidated-NS-TEX-PDF-Corpus/Section 2- Scale-Barrier Principle__my_project_priority__2025-03-07.tex
moved_clean_recovery,filesystem,my_project_priority,/Users/thomasbirnie/my_project/project-documents/priority/Section 3- Monotone Functional.pdf,,,2025-01-13T00:17:52+00:00,pdf_output,8a229e32440dbb2b61120e8ccbcb2c958e91484f3e1b83b2ed8260b5987fb194,Section 3- Monotone Functional.pdf,/Users/thomasbirnie/Research-Consolidation/Millennium Prize Problems/Navier-Stokes/Consolidated-NS-TEX-PDF-Corpus-20260325-103223/pdf/Section 3- Monotone Functional__my_project_priority__2025-01-13.pdf,/Users/thomasbirnie/Research-Consolidation/Millennium Prize Problems/Navier-Stokes/Consolidated-NS-TEX-PDF-Corpus/Section 3- Monotone Functional__my_project_priority__2025-01-13.pdf
