source,original_commit,exported_commit,author_date,commit_date
early-material,c069d1efef68065f9dfc1661480c26758b6bf1af,8dc7c3bbb5307bb58b8a7773b76dedef29cb3fe6,2026-03-26T18:40:18-06:00,2026-03-26T18:40:18-06:00
original-lane,f6d8d3279057d0e39c951e9fe1a66a5120fafc66,30b5960a03a65f6db6c65667ba0d091faa046b19,2026-03-28T10:20:03-06:00,2026-03-28T10:20:03-06:00
original-lane,0660b0280f9ec79fff4ae360c7749118ca4c186a,c0c78fd1db8b1ae6399855209dbe963325cd912a,2026-03-28T11:13:57-06:00,2026-03-28T11:13:57-06:00
original-lane,6179e58b9189d7cc2f41cbd59453a0fe4f3dec3a,a312f8e742058af8271113da1c4474fcb46e269c,2026-04-09T10:36:09-06:00,2026-04-09T10:36:09-06:00
original-lane,d42f95db2b2913e64ca56c8777e8bbfa2d95fbf3,293bd29fcd1aade48356e357334669584970e435,2026-04-09T10:51:17-06:00,2026-04-09T10:51:17-06:00
original-lane,7d8c11b09a96e699cf8fc489f4b1b2206da8a55b,67c9e8dd0779d5bb4bd47d9d21d7c1c38474ac10,2026-04-09T15:45:28-06:00,2026-04-09T15:45:28-06:00
original-lane,9d293f5fe818d1ae5cfa3b64cdc207daba5db43d,69ca23dd9dedf2376721182785bb1251c7a899ca,2026-04-12T18:09:52-06:00,2026-04-12T18:09:52-06:00
original-lane,547f9db125ee97d9d6b78b42f342155ca79dd862,b90f2a0c61d001b9dc9eb5453eb068449b90fb14,2026-04-12T18:40:55-06:00,2026-04-12T18:40:55-06:00
original-lane,314a23b49349d648518bcc1790712c7c994041b5,2af8f68e1e20aeaf775a87464313a2191d1d5a59,2026-04-13T13:57:14-06:00,2026-04-13T13:57:14-06:00
original-lane,ae11b340ee5513201b87a6cc4200ec5705b1fc76,5acd8a69db181212aeab447840c4a94a1e26f21b,2026-04-13T14:29:23-06:00,2026-04-13T14:29:23-06:00
original-lane,78cf39dd72d30fe694eee4b566cb954b312ed68c,7ebed80240f8fa50a3fff45f39e9d14fefab92d3,2026-04-13T15:07:09-06:00,2026-04-13T15:07:09-06:00
original-lane,d65918713c5a7eb17547659abb2f08512fdb2f47,aed3d00ed4a4861602d29c9c94dacb101affaf9b,2026-04-14T12:12:36-06:00,2026-04-14T12:12:36-06:00
original-lane,62273abbaceac346c6ea144b940ac06012fb775b,63c0fa2b7507fc9503acb1a2e0a05c76d83041f6,2026-04-14T12:55:31-06:00,2026-04-14T12:55:31-06:00
original-lane,c2968066fdabcec91e41f8b25596a6dd2b0b9e7f,96a4f6f530c22d9972349892164125be77c32eb8,2026-04-14T13:46:33-06:00,2026-04-14T13:46:33-06:00
original-lane,b484c1e5a2fff22f3a6f9f6d9b428fcd8c0fd72c,ce2c1177be470769772b427a712514ee5b7bb251,2026-04-14T15:55:36-06:00,2026-04-14T15:55:36-06:00
original-lane,e61c17b25732edf706654221793acb1c8f26513d,2838c3f2fa3e05ec1e5d0b1cf00263fcfa30d6ff,2026-04-14T16:36:20-06:00,2026-04-14T16:36:20-06:00
original-lane,f01895ff56376978f9a45cdd57342442b71c4fa2,d0fa9ae287d3b54ae173d65b8d456c6763a1eb5a,2026-04-14T17:18:40-06:00,2026-04-14T17:18:40-06:00
original-lane,d896a42d1bb144a43d84424be4afa326d2398f73,c6acca119e4358d34a9f041d04fb7269708697c2,2026-04-14T17:52:57-06:00,2026-04-14T17:52:57-06:00
original-lane,9dd62545ea1833f274e366f8bd155fd7c0d25b9d,bec5532ca538d2b60b4602306df8741345c0b519,2026-04-14T18:27:48-06:00,2026-04-14T18:27:48-06:00
original-lane,1f197d3a82fa0dc8ce8ceb4ecf20213d3abbed62,2f4ff9bcd3487b080fe29511468c22a02d2b8fc5,2026-04-14T19:00:52-06:00,2026-04-14T19:00:52-06:00
research,b51bf17baaaf29934b634f7b80f8f544d5c5ed3f,6ac273feeb283dbd4fa03686c3e155a3ebcf6fd2,2026-04-22T15:18:50-06:00,2026-04-22T15:18:50-06:00
research,868886b54fa954d043fbac9080e0fb6fc6e3268d,0795856dd3f3e1c31c105f15aa2fbc9937305a58,2026-04-23T13:13:36-06:00,2026-04-23T13:13:36-06:00
research,502d0b824bc848291d023ca4f2b671fdab4b1f5c,accb53166112ed013afbe57a0a625b4c0c800f8b,2026-04-23T13:14:04-06:00,2026-04-23T13:14:04-06:00
research,f077008b76d6e89fd0b34e54ee488e74fe857a4c,5d8adc74d6a1f2826842a2718ccab7c2e191b30f,2026-04-23T13:14:28-06:00,2026-04-23T13:14:28-06:00
research,ef326b926ffc99be03cf08e95d03280126c48cb7,6f8235455245a5b52d818249bb05aecb3483fafa,2026-04-23T13:14:44-06:00,2026-04-23T13:14:44-06:00
research,e999af430dac38f50b41a74d759230543cf74c3a,7a5854e90bf4e779b0acd186c8ac3cab0fe48859,2026-04-23T13:15:03-06:00,2026-04-23T13:15:03-06:00
research,795c327a75cbff4b5a5d19409cc1444f39709180,78015e4b1e176be58e9c71cc06fd1959ac19e6d2,2026-04-23T13:25:46-06:00,2026-04-23T13:25:46-06:00
research,4bdefb5befaf26ff4675f77dd0a983a4c10bda7f,36122b08fb79e00a64417ce7699b7f9947af90b2,2026-04-23T17:08:57-06:00,2026-04-23T17:08:57-06:00
research,5b2c25774018288c1a6a5a063fb70ed782bcbbd8,5d211af2f92d443ccc4316ef8cd7aa0b8ddb6a58,2026-04-23T20:05:57-06:00,2026-04-23T20:05:57-06:00
research,5d8aec197386edfdd91631def625682abab680fb,05ef6cf47bf8f0839682a42d5dd6014a6938c251,2026-04-24T15:50:51-06:00,2026-04-24T15:50:51-06:00
research,d5a27aff9e8c2dae407c7f95d25ac7204345391f,7ef0080d4f48ad83e9dcc0387ce9d83c291c0104,2026-04-24T15:54:16-06:00,2026-04-24T15:54:16-06:00
research,a545a8036c5a34f0409082b8c2df1e74450bca44,af645a53c03569015865832443dd9e671fd692fb,2026-04-24T15:57:25-06:00,2026-04-24T15:57:25-06:00
research,21e1cf0250b3eeb1b5bf3c97726c8d0f0d20c06b,99abf1eb6a5f936c5773080fcfdadcb8dddcae4f,2026-04-24T15:58:22-06:00,2026-04-24T15:58:22-06:00
research,37d255195a4b2d75a9b0f62a345e5fc547eff5f4,004da5d85cb672ea5fd1877dd01bc4b6268e29c0,2026-04-24T15:59:20-06:00,2026-04-24T15:59:20-06:00
research,26699c73c543895a3db80ce149223dc0b204f4bf,9ed3f6bb9b4ebb076b7c26aa5dbefa2d95e641da,2026-04-24T16:03:32-06:00,2026-04-24T16:03:32-06:00
research,7871b744bf85cabb15174177f114a08d51bb4a9c,2c0ec7174e12eb8f1472f4882dd970d38246172c,2026-04-24T16:04:00-06:00,2026-04-24T16:04:00-06:00
research,ec94d12a1d47f02c7e008a0021b5327ac4396481,b98bc47860299bc08419e86decc4cd4d9417d7a3,2026-04-24T16:06:36-06:00,2026-04-24T16:06:36-06:00
research,2478f739e80360ed84ca33364f7d0c2dbb5b69ed,02e886d5e8cc9c329d73ede4ebc76cac9971e30b,2026-04-24T16:09:11-06:00,2026-04-24T16:09:11-06:00
research,e8595d2e9bfbf2ed7c7e092c91bac21e6c7a5181,9cc3ebcdf8ab526375c16e9919a8d7b680abfb13,2026-04-24T16:14:09-06:00,2026-04-24T16:14:09-06:00
research,d798418ca39a0dadfd6461aa4851c038677e622b,413d2e5d22fa9124839d8b2672579cf099887316,2026-04-24T16:16:54-06:00,2026-04-24T16:16:54-06:00
research,eb42b0039ba357a562038384c3a2ced880eda656,ad2972599bd14e8dabde1b416e13102bfafbe6e9,2026-04-24T17:54:31-06:00,2026-04-24T17:54:31-06:00
research,91b41e994db376600168432ef79c3ac968fb1191,58bbe56a04879fe36c4e3a92be0677c972897305,2026-04-24T17:57:08-06:00,2026-04-24T17:57:08-06:00
research,3a8ff98cfb4516a7a16181b84e59434f7dfc52bc,a9a42e7c2c723ac65cf87d81abdb091570a8ccf8,2026-04-24T18:02:47-06:00,2026-04-24T18:02:47-06:00
research,c38a02d5415907b432cb04aff3ee1fd85f7bcc92,8b94845672978cce378b6c17a4de5695fd973100,2026-04-24T18:09:06-06:00,2026-04-24T18:09:06-06:00
research,b44219e7e768a008fe569d06f2c83a072a4859d2,e1d38f5d8418f74db34b1f04740e4a406d125239,2026-04-24T18:12:29-06:00,2026-04-24T18:12:29-06:00
research,daff0ad4fa038ace0aed024070724d3bec2e2c65,10f29ca64abfd4a0330a3c3d5434acd0c9ad7738,2026-04-24T18:16:01-06:00,2026-04-24T18:16:01-06:00
research,c302b89dd28f5ee1a35089d7f5f751f7d4c2fa3c,be5c94240752e7b760e1bca020ae428535a9b3ab,2026-04-24T18:21:51-06:00,2026-04-24T18:21:51-06:00
research,ad68c6227ea1caa7a31ae5ba037155b5238b811b,7b23332c08f4732791a00d2eaf7e8073494d3865,2026-04-24T18:22:47-06:00,2026-04-24T18:22:47-06:00
research,70a6f16e802624993ed238dbc64d4712d34e8a46,68bc7a81705459602566c49fec62d9279b2a367d,2026-04-24T18:24:47-06:00,2026-04-24T18:24:47-06:00
research,661d329c4f87b3136d4d7bd8309261c6eac6bd7f,078881c03542165d50e2b701848df79418836894,2026-04-24T18:33:33-06:00,2026-04-24T18:33:33-06:00
research,4b0e42b9efaece165b503d22e7fb47d87a709f3f,daf9dda2688710004f4583e4695165f9f5d8f7c2,2026-04-24T18:36:43-06:00,2026-04-24T18:36:43-06:00
research,67e645224f55a0c834033da567ed99553a5faa31,cc008886a0d0107903d2ad8280430bbd71db71cf,2026-04-24T18:39:58-06:00,2026-04-24T18:39:58-06:00
